timestamp,WS10m_ERA5_ms,WS50m_ERA5_ms,WS50m_MERRA2_ms,cf_wind_MERRA2
2020-01-15 04:00:00,2.34,2.838521956543955,4.88,0.091
2020-01-15 05:00:00,2.34,2.838521956543955,4.815,0.086
2020-01-15 06:00:00,2.14,2.5959132423094293,4.696,0.079
2020-01-15 07:00:00,1.72,2.086434942416924,4.679,0.078
2020-01-15 08:00:00,1.52,1.8438262281823983,4.642,0.077
2020-01-15 09:00:00,2.21,2.680826292291513,4.258,0.056
2020-01-15 10:00:00,2.21,2.680826292291513,3.705,0.034
2020-01-15 11:00:00,1.38,1.6740001282182297,3.205,0.018
2020-01-15 12:00:00,0.83,1.0068261640732832,2.856,0.01
2020-01-15 13:00:00,1.66,2.0136523281465664,2.735,0.008
2020-01-15 14:00:00,2.62,3.178174156472292,2.827,0.01
2020-01-15 15:00:00,3.38,4.100087270563491,3.395,0.023
2020-01-15 16:00:00,3.86,4.6823481847263535,4.164,0.052
2020-01-15 17:00:00,4.14,5.02200038465469,5.056,0.102
2020-01-15 18:00:00,4.14,5.02200038465469,5.657,0.144
2020-01-15 19:00:00,4.21,5.106913434636774,5.806,0.156
2020-01-15 20:00:00,4.28,5.191826484618859,5.785,0.155
2020-01-15 21:00:00,4.07,4.937087334672606,5.575,0.138
2020-01-15 22:00:00,2.55,3.0932611064902074,5.329,0.12
2020-01-15 23:00:00,1.52,1.8438262281823983,5.12,0.105
2020-01-16 00:00:00,0.83,1.0068261640732832,4.89,0.091
2020-01-16 01:00:00,0.83,1.0068261640732832,4.681,0.078
2020-01-16 02:00:00,1.24,1.5041740282540617,4.494,0.068
2020-01-16 03:00:00,1.93,2.3411740923631768,4.374,0.063
2020-01-16 04:00:00,2.34,2.838521956543955,4.187,0.053
2020-01-16 05:00:00,2.55,3.0932611064902074,3.961,0.044
2020-01-16 06:00:00,2.55,3.0932611064902074,3.833,0.038
2020-01-16 07:00:00,2.55,3.0932611064902074,3.752,0.035
2020-01-16 08:00:00,2.55,3.0932611064902074,3.831,0.038
2020-01-16 09:00:00,2.48,3.0083480565081233,3.601,0.03
2020-01-16 10:00:00,2.14,2.5959132423094293,3.208,0.018
2020-01-16 11:00:00,2.07,2.511000192327345,2.841,0.01
2020-01-16 12:00:00,2.41,2.9234350065260393,2.535,0.005
2020-01-16 13:00:00,2.9,3.517826356400628,2.406,0.004
2020-01-16 14:00:00,3.24,3.930261170599323,2.24,0.003
2020-01-16 15:00:00,3.45,4.1850003205455755,1.845,0.001
2020-01-16 16:00:00,3.72,4.512522084762185,1.628,0.0
2020-01-16 17:00:00,4.0,4.852174284690522,2.742,0.008
2020-01-16 18:00:00,4.48,5.434435198853385,3.876,0.04
2020-01-16 19:00:00,4.69,5.689174348799637,4.503,0.069
2020-01-16 20:00:00,4.69,5.689174348799637,4.669,0.078
2020-01-16 21:00:00,4.69,5.689174348799637,4.628,0.076
2020-01-16 22:00:00,3.86,4.6823481847263535,4.58,0.073
2020-01-16 23:00:00,3.59,4.354826420509743,4.698,0.079
2020-01-17 00:00:00,3.24,3.930261170599323,4.879,0.09
2020-01-17 01:00:00,3.17,3.8453481206172384,5.053,0.101
2020-01-17 02:00:00,3.31,4.0151742205814065,5.192,0.11
2020-01-17 03:00:00,3.66,4.439739470491827,5.313,0.119
2020-01-17 04:00:00,4.07,4.937087334672606,5.331,0.12
2020-01-17 05:00:00,4.28,5.191826484618859,5.258,0.114
2020-01-17 06:00:00,4.34,5.264609098889216,5.028,0.1
2020-01-17 07:00:00,4.28,5.191826484618859,4.894,0.091
2020-01-17 08:00:00,4.07,4.937087334672606,4.833,0.087
2020-01-17 09:00:00,3.72,4.512522084762185,4.553,0.071
2020-01-17 10:00:00,3.45,4.1850003205455755,4.194,0.053
2020-01-17 11:00:00,3.17,3.8453481206172384,4.018,0.046
2020-01-17 12:00:00,3.45,4.1850003205455755,4.157,0.052
2020-01-17 13:00:00,4.21,5.106913434636774,4.429,0.065
2020-01-17 14:00:00,4.97,6.028826548727973,4.647,0.077
2020-01-17 15:00:00,5.59,6.7809135628550035,5.007,0.098
2020-01-17 16:00:00,5.66,6.865826612837088,5.485,0.131
2020-01-17 17:00:00,5.52,6.696000512872919,6.283,0.198
2020-01-17 18:00:00,5.24,6.356348312944584,7.108,0.284
2020-01-17 19:00:00,4.9,5.943913498745889,7.466,0.325
2020-01-17 20:00:00,4.55,5.519348248835468,7.396,0.318
2020-01-17 21:00:00,4.28,5.191826484618859,6.754,0.246
2020-01-17 22:00:00,4.34,5.264609098889216,6.018,0.174
2020-01-17 23:00:00,4.14,5.02200038465469,5.524,0.134
2020-01-18 00:00:00,4.28,5.191826484618859,5.153,0.107
2020-01-18 01:00:00,4.34,5.264609098889216,5.003,0.098
